zip,donations,total,NAME,variable,populationtotal,moe,donation_rate_per_1000
21217,6787,338081.31999999844,ZCTA5 21217,totalpopulation,33644,1515,201.72987754131495
21218,31378,1018091.8099999998,ZCTA5 21218,totalpopulation,47555,1818,659.8254652507622
21219,1232,28739.510000000017,ZCTA5 21219,totalpopulation,9550,511,129.00523560209425
21220,3341,75693.55000000031,ZCTA5 21220,totalpopulation,41051,1243,81.38656792769969
21221,3250,65432.59999999995,ZCTA5 21221,totalpopulation,42078,1341,77.23751128855933
21222,3776,62814.88999999995,ZCTA5 21222,totalpopulation,55212,1289,68.39092950807796
21223,1598,27742.830000000005,ZCTA5 21223,totalpopulation,22392,1501,71.36477313326188
21224,12042,379731.1799999997,ZCTA5 21224,totalpopulation,49332,1944,244.10119192410608
21225,2446,27074.09999999997,ZCTA5 21225,totalpopulation,34363,1382,71.18121235049327
21226,636,12090.19,ZCTA5 21226,totalpopulation,6247,1043,101.80886825676325
21227,4190,96694.33000000005,ZCTA5 21227,totalpopulation,33589,1080,124.74321950638601
21228,26381,597323.7399999986,ZCTA5 21228,totalpopulation,48196,1381,547.3690762718898
21229,8355,157636.48000000007,ZCTA5 21229,totalpopulation,45921,2179,181.94290194028875
21230,13266,623503.7299999964,ZCTA5 21230,totalpopulation,34274,1201,387.0572445585575
21231,7981,281612.8999999996,ZCTA5 21231,totalpopulation,15854,908,503.4060804844204
21234,12937,250143.7600000003,ZCTA5 21234,totalpopulation,68381,1475,189.1899796727161
21236,5621,122992.59000000026,ZCTA5 21236,totalpopulation,39707,1810,141.56194121943233
21237,3793,79481.20000000007,ZCTA5 21237,totalpopulation,30129,1309,125.89199774303827
21239,11716,161538.66000000044,ZCTA5 21239,totalpopulation,30424,1274,385.09071785432553
21240,14,522,ZCTA5 21240,totalpopulation,0,12,Inf
21244,9590,141657.7900000002,ZCTA5 21244,totalpopulation,36394,1313,263.50497334725503
21250,5,206,ZCTA5 21250,totalpopulation,2367,465,2.112378538234051
21251,9,134,ZCTA5 21251,totalpopulation,965,171,9.32642487046632
21252,9,120,ZCTA5 21252,totalpopulation,2383,534,3.7767519932857745
21286,12808,415242.91999999946,ZCTA5 21286,totalpopulation,19849,844,645.2718021058995
21401,36733,1649639.400000007,ZCTA5 21401,totalpopulation,38315,1298,958.7106877202141
21402,172,9181.1,ZCTA5 21402,totalpopulation,6669,1756,25.790973159394213
21403,25115,1333098.2500000054,ZCTA5 21403,totalpopulation,31377,1115,800.4270644102368
21405,1726,51961.95999999998,ZCTA5 21405,totalpopulation,337,149,5121.661721068249
21409,11407,445531.4299999982,ZCTA5 21409,totalpopulation,19931,600,572.3245195925945
21502,7293,116830.50000000042,ZCTA5 21502,totalpopulation,42391,687,172.04123516784222
21520,197,8828.130000000001,ZCTA5 21520,totalpopulation,2200,422,89.54545454545453
21521,53,890.1600000000001,ZCTA5 21521,totalpopulation,1102,170,48.09437386569873
21523,6,46,ZCTA5 21523,totalpopulation,188,93,31.914893617021274
21524,5,7,ZCTA5 21524,totalpopulation,775,279,6.451612903225806
21529,33,886,ZCTA5 21529,totalpopulation,434,140,76.036866359447
21530,475,11216.91,ZCTA5 21530,totalpopulation,1859,278,255.51371705217858
21531,191,4804.52,ZCTA5 21531,totalpopulation,1868,264,102.24839400428264
21532,1754,43536.08000000003,ZCTA5 21532,totalpopulation,14726,502,119.10905880755126
21536,466,10208.63,ZCTA5 21536,totalpopulation,4123,401,113.02449672568518
21538,17,85,ZCTA5 21538,totalpopulation,410,128,41.463414634146346
21539,28,785.4200000000001,ZCTA5 21539,totalpopulation,2606,319,10.744435917114352
21540,1,56.18,ZCTA5 21540,totalpopulation,102,53,9.803921568627452
21541,381,19362.08,ZCTA5 21541,totalpopulation,1421,285,268.1210415200563
21545,55,972.24,ZCTA5 21545,totalpopulation,1740,179,31.609195402298855
21550,1946,54859.00000000003,ZCTA5 21550,totalpopulation,14077,514,138.23968175037297
21555,229,5493.5,ZCTA5 21555,totalpopulation,1586,263,144.38839848675914
21557,71,1640.1999999999998,ZCTA5 21557,totalpopulation,1410,379,50.354609929078016
21561,752,17515.689999999995,ZCTA5 21561,totalpopulation,2464,324,305.1948051948052
21562,202,2810.76,ZCTA5 21562,totalpopulation,3519,354,57.4026712134129
21601,15791,628699.1599999968,ZCTA5 21601,totalpopulation,23399,477,674.8578999102526
21607,2,350,ZCTA5 21607,totalpopulation,737,209,2.7137042062415193
21610,279,3615.8,ZCTA5 21610,totalpopulation,433,126,644.3418013856813
21612,232,8710.380000000001,ZCTA5 21612,totalpopulation,381,129,608.9238845144357
21613,3942,120616.02999999994,ZCTA5 21613,totalpopulation,17132,359,230.09572729395285
21617,3054,57825.34999999997,ZCTA5 21617,totalpopulation,10570,636,288.9309366130558
